J1144-6146    mlc+01     J1144-6146    mlc+01     11:44:34.8       3.0e-01   mlc+01     -61:46:49        3.0e+00   mlc+01     0.98778306934        1.6e-10   mlc+01     78.7       1.3e+00   mlc+01     0.45   6.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
J1144-6217    mlc+01     J1144-6217    mlc+01     11:44:02.11      5.0e-02   mlc+01     -62:17:30.3      4.0e-01   mlc+01     0.85066494337        4.0e-11   mlc+01     284.7      6.0e-01   mlc+01     0.20   3.0e-02   mlc+01     *                               *       *          pksmb                                            
B1143-60      mlt+78     J1146-6030    mlt+78     11:46:07.74      4.0e-02   nmc81      -60:30:59.4      3.0e-01   nmc81      0.27337242988        3.0e-11   nmc81      111.68     7.0e-02   hfs+04     3.6    4.0e-01   hfs+04     *                               *       *          mol2,pks1,pks70,pksmb,htru_pks                   
J1147-66      mlb+12     J1147-66      mlb+12     11:47                  0  mlb+12     -66                    0  mlb+12     0.00372                    0  mlb+12     133.8            0  mlb+12     0.8          0  mlb+12     *                               *       *          pksmb                                            
J1148-5725    lfl+06     J1148-5725    lfl+06     11:48:28.53      1.9e-01   lfl+06     -57:25:12.6      1.7e+00   lfl+06     3.5599372320         7.0e-10   lfl+06     174        5.0e+00   lfl+06     0.12         0  lfl+06     *                               *       *          pksmb                                            
J1148-6415    kbm+03     J1148-6415    kbm+03     11:48:37.8       5.0e-01   kbm+03     -64:15:33        3.0e+00   kbm+03     3.2410285031         8.0e-10   kbm+03     241        6.0e+00   kbm+03     0.06   2.0e-02   kbm+03     *                               *       *          pksmb                                            
J1152-5800    hfs+04     J1152-5800    hfs+04     11:52:10.0       4.0e-01   hfs+04     -58:00:34        4.0e+00   hfs+04     1.7898294664         5.0e-10   hfs+04     191        7.0e+00   hfs+04     0.12   2.0e-02   hfs+04     *                               *       *          pksmb                                            
J1152-6012    kbm+03     J1152-6012    kbm+03     11:52:53.8       1.0e-01   kbm+03     -60:12:21        1.0e+00   kbm+03     0.37656956576        5.0e-11   kbm+03     74         3.0e+00   kbm+03     0.17   3.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1154-6250    kbm+03     J1154-6250    kbm+03     11:54:20.1       1.0e-01   kbm+03     -62:50:02.7      7.0e-01   kbm+03     0.28201171065        3.0e-11   kbm+03     74         6.0e+00   kbm+03     0.07   2.0e-02   kbm+03     *                               *       *          pksmb                                            
J1156-5707    hfs+04     J1156-5707    hfs+04     11:56:07.45      4.0e-02   hfs+04     -57:07:01.9      5.0e-01   hfs+04     0.288409420325       8.0e-12   hfs+04     243.5      6.0e-01   hfs+04     0.19   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1156-5909    lml+98     J1156-5909    lml+98     11:56:21.5       1.0e-01   dsb+98     -59:09:12.3      3.0e-01   dsb+98     1.0379310509         9.0e-10   dsb+98     219.2      1.0e-01   dsb+98     *            0  *          *                               *       *          pks70                                            
J1157-5112    eb01       J1157-5112    eb01       11:57:08.166     1.0e-03   eb01b      -51:12:56.14     3.0e-02   eb01b      0.04358922706284     1.2e-13   eb01b      39.67      4.0e-02   eb01b      *            0  *          *                               ELL1    eb01b      pkssw                                            
B1154-62      lvw69b     J1157-6224    lvw69b     11:57:15.240     1.6e-02   smd93      -62:24:50.87     1.3e-01   smd93      0.400522048340       4.0e-12   smd93      325.2      5.0e-01   nmc81      5.9    6.0e-01   hfs+04     *                               *       *          mol1,mol2,pks1,pks70,pksmb,htru_pks              
J1159-6409    kbm+03     J1159-6409    kbm+03     11:59:21.7       1.0e-01   kbm+03     -64:09:57        1.0e+00   kbm+03     0.66748553354        6.0e-11   kbm+03     178        5.0e+00   kbm+03     0.47   6.0e-02   kbm+03     *                               *       *          pksmb                                            
J1159-7910    lml+98     J1159-7910    lml+98     11:59:35.71      8.0e-02   dsb+98     -79:10:05.6      3.0e-01   dsb+98     0.5250742392         3.0e-10   dsb+98     59.24      2.0e-02   dsb+98     *            0  *          *                               *       *          pks70,pkssw                                      
J1201-6306    kbm+03     J1201-6306    kbm+03     12:01:23.01      1.0e-02   kbm+03     -63:06:59.5      8.0e-01   kbm+03     0.59213602908        5.0e-11   kbm+03     683        3.0e+00   kbm+03     0.13   2.0e-02   kbm+03     *                               *       *          pksmb                                            
B1159-58      mlt+78     J1202-5820    mlt+78     12:02:28.403     1.6e-02   nmc81      -58:20:33.4      2.0e-01   nmc81      0.452800508195       1.9e-11   nmc81      145.41     1.9e-01   hfs+04     2.0    2.0e-01   hfs+04     *                               *       *          mol2,pks1,pks70,pksmb,htru_pks                   
J1204-6843    ebvb01     J1204-6843    ebvb01     12:04:36.72      1.0e-02   ebvb01     -68:43:17.19     8.0e-02   ebvb01     0.3088608620097      1.9e-12   ebvb01     133.93     9.0e-02   ebvb01     *            0  *          *                               *       *          pkssw,htru_pks                                   
J1207-5050    rap+12     J1207-5050    rap+12     12:07:21.81      4.0e-02   rb13       -50:50:30.3      1.4e+00   rb13       0.00484                    0  rap+12     50.6             0  rap+12     *            0  *          *                               *       *          FermiAssoc                                       
J1210-5226    zpst00     J1210-5226    zpst00     12:10:00.91      7.0e-02   gh07       -52:26:28.4      6.0e-01   gh07       0.424130748816       1.2e-11   gha13      *                0  *          *            0  *          NRAD                            *       *          misc                                             
J1210-5559    mld+96     J1210-5559    mld+96     12:10:05.988     2.0e-03   dsb+98     -55:59:03.92     2.0e-02   dsb+98     0.2797673308446      9.0e-13   dsb+98     174.347    3.0e-03   dsb+98     2.1          0  lor94      *                               *       *          pks70,pkssw,htru_pks                             
J1210-6550    hfs+04     J1210-6550    hfs+04     12:10:42.0       3.0e-01   hfs+04     -65:50:04.6      1.9e+00   hfs+04     4.2370102164         1.8e-09   hfs+04     37         6.0e+00   hfs+04     0.17   3.0e-02   hfs+04     *                               *       *          pksmb                                            
J1211-6324    kbm+03     J1211-6324    kbm+03     12:11:24.18      7.0e-02   kbm+03     -63:24:45.2      5.0e-01   kbm+03     0.433083926199       1.7e-11   kbm+03     333.8      1.1e+00   kbm+03     0.45   6.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1214-5830    kbm+03     J1214-5830    kbm+03     12:14:08.42      2.0e-02   kbm+03     -58:30:25.9      1.0e-01   kbm+03     0.90982270118        4.0e-11   kbm+03     141.1      7.0e-01   kbm+03     0.14   2.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1215-5328    ebvb01     J1215-5328    ebvb01     12:15:00.62      7.0e-02   ebvb01     -53:28:31.6      7.0e-01   ebvb01     0.63641413680        5.0e-11   ebvb01     163.0      5.0e-01   ebvb01     *            0  *          *                               *       *          pkssw,htru_pks                                   
J1216-50      bbj+11     J1216-50      bbj+11     12:16:20         4.4e+01   bbj+11     -50:27:01        4.2e+02   bbj+11     6.355                9.0e-03   bbj+11     110        2.0e+01   bbj+11     *            0  *          RRAT                            *       *          htru_pks                                         
J1216-6223    mlc+01     J1216-6223    mlc+01     12:16:41.89      1.2e-01   mlc+01     -62:23:57.8      9.0e-01   mlc+01     0.37404678583        5.0e-11   mlc+01     786.6      1.8e+00   mlc+01     0.15   3.0e-02   mlc+01     *                               *       *          pksmb                                            
J1216-6410    fsk+04     J1216-6410    fsk+04     12:16:07.3396    9.0e-04   lfl+06     -64:10:09.226    8.0e-03   lfl+06     0.003539375658423    3.0e-15   lfl+06     47.40      3.0e-02   lfl+06     0.05         0  lfl+06     *                               ELL1    lfl+06     pksmb,htru_pks                                   
J1220-6318    mlc+01     J1220-6318    mlc+01     12:20:17.86      1.3e-01   mlc+01     -63:18:46.5      1.0e+00   mlc+01     0.78921201205        8.0e-11   mlc+01     347        3.0e+00   mlc+01     0.68   8.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
J1222-5738    kbm+03     J1222-5738    kbm+03     12:22:52.3       3.0e-01   kbm+03     -57:38:20        1.0e+00   kbm+03     1.0811635266         1.3e-09   kbm+03     74         6.0e+00   kbm+03     0.11   2.0e-02   kbm+03     *                               *       *          pksmb                                            
J1224-6208    mlc+01     J1224-6208    mlc+01     12:24:44.25      8.0e-02   mlc+01     -62:08:41.1      7.0e-01   mlc+01     0.58576120812        4.0e-11   mlc+01     454.2      7.0e-01   mlc+01     0.23   3.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
B1221-63      kac+73     J1224-6407    kac+73     12:24:22.185     9.0e-03   smd93      -64:07:53.91     7.0e-02   smd93      0.2164762031209      1.4e-12   smd93      97.47      1.2e-01   hfs+04     3.9    4.0e-01   hfs+04     *                               *       *          misc,mol2,pks1,pks70,pksmb,htru_pks              
J1225-5556    mld+96     J1225-5556    mld+96     12:25:43.827     4.0e-03   dsb+98     -55:56:43.14     4.0e-02   dsb+98     1.018452868182       1.5e-11   dsb+98     125.835    7.0e-03   dsb+98     0.4          0  lor94      *                               *       *          pks70,htru_pks                                   
J1225-6035    kbm+03     J1225-6035    kbm+03     12:25:28.63      5.0e-02   kbm+03     -60:35:37.6      3.0e-01   kbm+03     0.626323941978       1.8e-11   kbm+03     176.1      1.0e+00   kbm+03     0.26   4.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
B1222-63      mlt+78     J1225-6408    mlt+78     12:25:42.8       2.0e-01   nmc81      -64:08:43        1.0e+00   nmc81      0.4196177915         3.0e-10   nmc81      415.1      5.0e-01   hfs+04     0.38   5.0e-02   hfs+04     *                               *       *          mol2,pks70,pksmb,htru_pks                        
J1226-32      bb10       J1226-32      bb10       12:26:50         3.4e+01   kkl+11     -32:27           7.0e+00   kkl+11     6.192997             7.0e-06   kkl+11     37         1.0e+01   bb10       *            0  *          RRAT                            *       *          pkssw                                            
J1227-4853    rbr14      J1227-4853    rbr14      12:27:58.748     1.0e-02   mmp+06     -48:53:42.88     1.0e-01   mmp+06     0.00169                    0  rbr14      43.5             0  rbr14      *            0  *          *                               ELL1    dcm+14     misc                                             
J1227-6208    btb+14     J1227-6208    btb+14     12:27:00.4413    4.0e-04   btb+14     -62:08:43.789    3.0e-03   btb+14     0.03452783464780     2.0e-14   btb+14     363.0      2.0e-01   btb+14     0.22         0  btb+14     *                               ELL1H   btb+14     htru_pks                                         
J1231-1411    rrc+11     J1231-1411    rrc+11     12:31:11.3132    7.0e-04   rrc+11     -14:11:43.63     2.0e-02   rrc+11     0.003683878711077    3.0e-15   rrc+11     8.090      1.0e-03   rrc+11     *            0  *          HE                              BT      rrc+11     FermiAssoc                                       
J1231-4609    jbo+09     J1231-4609    jbo+09     12:31:45.76      1.4e-01   jbo+09     -46:09:45.2      3.0e-01   jbo+09     0.87723907778        4.0e-11   jbo+09     76         7.0e+00   jbo+09     *            0  *          *                               *       *          pkssw                                            
J1231-6303    kbm+03     J1231-6303    kbm+03     12:31:13.0       3.0e-01   kbm+03     -63:03:18        2.0e+00   kbm+03     1.3512362992         6.0e-10   kbm+03     301        1.0e+01   kbm+03     1.5    1.6e+00   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1232-4742    ebvb01     J1232-4742    ebvb01     12:32:19.1       2.0e-01   jbo+09     -47:42:50.9      1.5e+00   jbo+09     1.8729943770         2.0e-10   jbo+09     26         3.0e+00   jbo+09     *            0  *          *                               *       *          pkssw,htru_pks                                   
J1232-6501    clm+01     J1232-6501    clm+01     12:32:17.840     6.0e-03   clm+01     -65:01:03.33     4.0e-02   clm+01     0.0882819082341      4.0e-13   clm+01     239.4      5.0e-01   clm+01     0.34   4.0e-02   mlc+01     *                               ELL1    clm+01     pksmb,htru_pks                                   
J1233-6312    kbm+03     J1233-6312    kbm+03     12:33:31.5       9.0e-01   kbm+03     -63:12:29        5.0e+00   kbm+03     0.5647593892         4.0e-10   kbm+03     414        1.3e+01   kbm+03     0.25   4.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1233-6344    kbm+03     J1233-6344    kbm+03     12:33:39.9       1.0e-01   kbm+03     -63:44:55        1.0e+00   kbm+03     0.75689193363        7.0e-11   kbm+03     495        9.0e+00   kbm+03     0.07   2.0e-02   kbm+03     *                               *       *          pksmb                                            
B1232-55      mlt+78     J1235-5516    mlt+78     12:35:19         3.0e+00   mlt+78     -55:16           1.0e+01   mlt+78     0.63823381           1.0e-08   nmc81      100        2.0e+01   nmc81      1.0          0  lor94      *                               *       *          mol2,pkssw                                       
J1235-6354    kbm+03     J1235-6354    kbm+03     12:35:57.72      8.0e-02   kbm+03     -63:54:30.4      4.0e-01   kbm+03     0.256777653406       1.2e-11   kbm+03     439.9      1.9e+00   kbm+03     0.16   3.0e-02   kbm+03     *                               *       *          pksmb                                            
J1236-5033    ebvb01     J1236-5033    ebvb01     12:36:59.15      1.0e-02   ebvb01     -50:33:36.3      1.0e-01   ebvb01     0.294759771191       4.0e-12   ebvb01     105.02     1.1e-01   ebvb01     *            0  *          *                               *       *          pkssw,htru_pks                                   
J1237-6725    kbm+03     J1237-6725    kbm+03     12:37:25.9       1.0e-01   kbm+03     -67:25:33.9      6.0e-01   kbm+03     2.11097411794        1.4e-10   kbm+03     176.5      3.0e-01   bbb+12     0.36   5.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1238+21      rtj+96     J1238+21      rtj+96     12:38:23.17      7.8e-02   hlk+04     +21:52:11.1      1.4e+00   hlk+04     1.11859068945        4.0e-11   hlk+04     17.5       1.2e+00   hlk+04     *            0  *          *                               *       *          ar4                                              
B1237+25      lan69      J1239+2453    lan69      12:39:40.4614    1.2e-03   hlk+04     +24:53:49.29     2.0e-02   hlk+04     1.3824491030388      1.0e-12   hlk+04     9.242      6.0e-03   hlk+04     10     2.0e+00   lylg95     *                               *       *          gb1,ar4,gb4                                      
B1236-68      mlt+78     J1239-6832    mlt+78     12:39:59.0       2.0e-01   nmc81      -68:32:27.7      1.1e+00   nmc81      1.3019081139         4.0e-10   nmc81      94.3       3.0e-01   hfs+04     0.96   1.1e-01   hfs+04     *                               *       *          mol2,pks70,pkssw,pksmb,htru_pks                  
B1237-41      mlt+78     J1240-4124    mlt+78     12:40:17.61      4.0e-02   nmc81      -41:24:51.7      7.0e-01   nmc81      0.51224209318        1.1e-10   nmc81      44.1       1.2e+00   nmc81      *            0  *          *                               *       *          mol2,pkssw                                       
J1243-5735    kbm+03     J1243-5735    kbm+03     12:43:35.38      7.0e-02   kbm+03     -57:35:42.8      5.0e-01   kbm+03     0.47122487769        1.6e-10   kbm+03     270.6      1.9e+00   kbm+03     0.14   2.0e-02   kbm+03     *                               *       *          pksmb                                            
B1240-64      lvw69a     J1243-6423    lvw69a     12:43:17.158     2.0e-02   smd93      -64:23:23.85     1.3e-01   smd93      0.388480921041       5.0e-12   smd93      297.25     8.0e-02   hfs+04     13.0   1.3e+00   hfs+04     *                               *       *          mol1,mol2,pks1,pks70,pksmb,htru_pks              
J1244-5053    ebvb01     J1244-5053    ebvb01     12:44:11.48      1.0e-02   ebvb01     -50:53:20.6      1.0e-01   ebvb01     0.275207111323       4.0e-12   ebvb01     109.95     1.2e-01   ebvb01     *            0  *          *                               *       *          pkssw,htru_pks                                   
J1244-6531    kel+09     J1244-6531    kel+09     12:44:38.3       2.0e-01   kel+09     -65:31:12        2.0e+00   kel+09     1.5468189400         3.0e-10   kel+09     388        2.0e+00   kel+09     0.17         0  kel+09     *                               *       *          pksmb                                            
J1245-6238    mlc+01     J1245-6238    mlc+01     12:45:21.12      1.4e-01   mlc+01     -62:38:55.9      8.0e-01   mlc+01     2.2830933508         3.0e-10   mlc+01     336.2      2.0e+00   mlc+01     0.14   2.0e-02   mlc+01     *                               *       *          pksmb                                            
J1246+22      tdk+93     J1246+22      tdk+93     12:46:38         2.0e+01   tdk+93     +22:53           5.0e+00   tdk+93     0.473830             4.0e-06   tdk+93     17.9       1.0e-01   tdk+93     *            0  *          *                               *       *          ar4                                              
J1248-6344    kbm+03     J1248-6344    kbm+03     12:48:46.36      5.0e-02   kbm+03     -63:44:09.6      5.0e-01   kbm+03     0.198335136357       8.0e-12   kbm+03     433.3      1.5e+00   kbm+03     0.12   2.0e-02   kbm+03     *                               *       *          pksmb                                            
J1249-6507    kbm+03     J1249-6507    kbm+03     12:49:54.32      9.0e-02   kbm+03     -65:07:19.8      7.0e-01   kbm+03     0.43444487308        3.0e-11   kbm+03     215        4.0e+00   kbm+03     0.10   2.0e-02   kbm+03     *                               *       *          pksmb                                            
J1251-7407    bbb+12     J1251-7407    bbb+12     12:51:52.94      1.0e-02   bbb+12     -74:07:15.04     9.0e-02   bbb+12     0.32705773823        2.0e-11   bbb+12     89.81      5.0e-02   bbb+12     *            0  *          *                               *       *          htru_pks                                         
J1252-6314    mlc+01     J1252-6314    mlc+01     12:52:42.62      1.1e-01   mlc+01     -63:14:32.7      6.0e-01   mlc+01     0.82333927128        6.0e-11   mlc+01     278.4      1.3e+00   mlc+01     0.66   8.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
J1253-5820    mld+96     J1253-5820    mld+96     12:53:28.342     2.0e-03   dsb+98     -58:20:40.89     2.0e-02   dsb+98     0.2554963274098      7.0e-13   dsb+98     100.584    4.0e-03   dsb+98     3.5    4.0e-01   hfs+04     *                               *       *          pks70,pksmb,htru_pks                             
J1254-6150    kbm+03     J1254-6150    kbm+03     12:54:32.48      6.0e-02   kbm+03     -61:50:50.8      3.0e-01   kbm+03     0.184502203069       7.0e-12   kbm+03     95         3.0e+00   kbm+03     0.15   3.0e-02   kbm+03     *                               *       *          pksmb                                            
J1255-6131    kbm+03     J1255-6131    kbm+03     12:55:54.86      4.0e-02   kbm+03     -61:31:10.1      4.0e-01   kbm+03     0.65797363034        3.0e-11   kbm+03     206.5      1.7e+00   kbm+03     0.13   2.0e-02   kbm+03     *                               *       *          pksmb                                            
B1254-10      dtws85     J1257-1027    dtws85     12:57:04.769     1.5e-02   hlk+04     -10:27:05.8      5.3e-01   hlk+04     0.6173076699955      8.0e-13   hlk+04     29.634     9.0e-03   hlk+04     1.2    3.0e-01   lylg95     *                               *       *          gb2,pks70                                        
B1256-67      mlt+78     J1259-6741    mlt+78     12:59:22.7       1.0e-01   nmc81      -67:41:40        1.0e+00   nmc81      0.6633290494         3.0e-10   nmc81      94.7       9.0e-01   hfs+04     1.30   1.4e-01   hfs+04     *                               *       *          mol2,pks70,pksmb,htru_pks                        
B1257+12      wol90a     J1300+1240    wol90a     13:00:03.5767    1.0e-04   kw03       +12:40:56.4721   3.0e-04   kw03       0.00621853194840048  3.0e-17   kw03       10.16550   3.0e-05   kw03       2      1.0e+00   kxl+98     *                               BT2P    kw03       ar4                                              
J1301+0833    rap+12     J1301+0833    rap+12     13:01:38.26            0  lht14      +08:33:57.5            0  lht14      0.00184                    0  rap+12     13.2             0  rap+12     *            0  *          *                               BT      rap+12     FermiAssoc                                       
J1301-6305    mlc+01     J1301-6305    mlc+01     13:01:45.76      1.4e-01   mlc+01     -63:05:33.9      1.2e+00   mlc+01     0.18452809509        6.0e-11   mlc+01     374        3.0e+00   mlc+01     0.46   4.0e-02   ct07       *                               *       *          pksmb                                            
J1301-6310    kbm+03     J1301-6310    kbm+03     13:01:28.30      7.0e-02   kbm+03     -63:10:40.5      5.0e-01   kbm+03     0.66382964770        4.0e-11   kbm+03     86.1       1.2e+00   kbm+03     0.11   2.0e-02   kbm+03     *                               *       *          pksmb                                            
J1302-32      hrm+11     J1302-32      hrm+11     13:02                  0  hrm+11     -32:00                 0  hrm+11     0.00377                    0  hrm+11     26.2             0  hrm+11     *            0  *          HE                              *       *          FermiAssoc                                       
J1302-63      nj98       J1302-63      nj98       13:02:04         8.0e+00   nj98       -63:44:53        6.0e+01   nj98       0.32572433           1.0e-08   nj98       875        1.0e+01   nj98       0.10   2.0e-02   hfs+04     *                               *       *          misc,pksmb                                       
J1302-6313    kbm+03     J1302-6313    kbm+03     13:02:19.2       7.0e-01   kbm+03     -63:13:29        4.0e+00   kbm+03     0.9678462129         4.0e-10   kbm+03     500        2.1e+01   kbm+03     0.18   3.0e-02   kbm+03     *                               *       *          pksmb                                            
B1259-63      jlm+92     J1302-6350    jlm+92     13:02:47.6426    1.1e-03   sjm14      -63:50:08.665    8.0e-03   sjm14      0.0477625075         4.0e-10   sjm14      146.72     3.0e-02   mjl+95     1.70   1.8e-01   hfs+04     *                               MSS     wjm04      pks1,pksmb,htru_pks                              
J1303-6305    mlc+01     J1303-6305    mlc+01     13:03:00.02      2.3e-01   mlc+01     -63:05:00.8      1.5e+00   mlc+01     2.3066415539         4.0e-10   mlc+01     343        3.0e+00   mlc+01     0.36   5.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
J1305-6203    mlc+01     J1305-6203    mlc+01     13:05:20.9       3.0e-01   mlc+01     -62:03:21.6      1.3e+00   mlc+01     0.42776184224        8.0e-11   mlc+01     470.0      1.5e+00   mlc+01     0.62   7.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
J1305-6256    mlc+01     J1305-6256    mlc+01     13:05:28.0       4.0e-01   mlc+01     -62:56:39        3.0e+00   mlc+01     0.47823093284        1.2e-10   mlc+01     967        3.0e+00   mlc+01     0.32   4.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
B1302-64      mlt+78     J1305-6455    mlt+78     13:05:23.7       3.0e-01   nmc81      -64:55:26.3      1.8e+00   nmc81      0.5716469444         4.0e-10   nmc81      505.0      3.0e-01   hfs+04     1.60   1.7e-01   hfs+04     *                               *       *          mol2,pks1,pks70,pksmb,htru_pks                   
J1305-66      kek+13     J1305-66      kek+13     13:05:36         3.0e+02   kek+13     -66:39           7.0e+00   kek+13     0.1972763            2.0e-07   kek+13     316.1            0  kek+13     0.2          0  kek+13     *                               *       *          pksmb                                            
J1306-6242    kbm+03     J1306-6242    kbm+03     13:06:44.6       1.0e-01   kbm+03     -62:42:03        1.0e+00   kbm+03     0.98190211848        9.0e-11   kbm+03     480        6.0e+00   kbm+03     0.14   2.0e-02   kbm+03     *                               *       *          pksmb                                            
B1303-66      jlm+92     J1306-6617    jlm+92     13:06:38.19      4.0e-02   jml+95     -66:17:21.8      2.0e-01   jml+95     0.473026470689       7.0e-12   jml+95     436.9      2.0e-01   jml+95     2.5    3.0e-01   hfs+04     *                               *       *          pks1,pksmb,htru_pks                              
J1307-6318    mlc+01     J1307-6318    mlc+01     13:07:54.7       6.0e-01   mlc+01     -63:18:35        4.0e+00   mlc+01     4.9624272525         2.0e-09   mlc+01     374        8.0e+00   mlc+01     1.4    5.0e-01   mlc+01     *                               *       *          pksmb,htru_pks                                   
J1307-67      kea10      J1307-67      kea10      13:07:41         7.2e+01   bbj+11     -67:03:27        4.2e+02   bbj+11     3.65120              8.0e-05   bbj+11     44         2.0e+00   kkl+11     *            0  *          RRAT                            *       *          htru_pks                                         
J1308+2127    hhss02     J1308+2127    hhss02     13:08:48.27      1.0e-02   kkv02      +21:27:06.78     5.0e-02   kkv02      10.31252206          2.0e-08   kv05a      *                0  *          *            0  *          XINS,NRAD                       *       *          misc                                             
J1308-4650    jbo+09     J1308-4650    jbo+09     13:08:44.589     1.9e-02   jbo+09     -46:50:29.7      4.0e-01   jbo+09     1.05883304424        3.0e-11   jbo+09     66         1.0e+01   jbo+09     *            0  *          *                               *       *          pkssw                                            
J1308-5844    lfl+06     J1308-5844    lfl+06     13:08:21.08      3.0e-02   lfl+06     -58:44:13.8      4.0e-01   lfl+06     0.4646997488         7.0e-10   lfl+06     205.6      1.1e+00   lfl+06     0.21         0  lfl+06     *                               *       *          pksmb,htru_pks                                   
J1309-6415    mlc+01     J1309-6415    mlc+01     13:09:16.6       7.0e-01   mlc+01     -64:15:59        5.0e+00   mlc+01     0.6194535568         3.0e-10   mlc+01     574        5.0e+00   mlc+01     0.21   3.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
J1309-6526    kbm+03     J1309-6526    kbm+03     13:09:00.29      8.0e-02   kbm+03     -65:26:16.6      5.0e-01   kbm+03     0.398292162785       2.0e-11   kbm+03     340        4.0e+00   kbm+03     0.15   3.0e-02   kbm+03     *                               *       *          pksmb                                            
B1309-12      dtws85     J1311-1228    dtws85     13:11:52.649     1.1e-02   hlk+04     -12:28:01.6      4.0e-01   hlk+04     0.4475177112318      7.0e-13   hlk+04     36.214     8.0e-03   hlk+04     0.5    1.0e-01   lylg95     *                               *       *          gb2,pks70                                        
J1311-3430    pgf+12     J1311-3430    pgf+12     13:11:45.7242    2.0e-04   pgf+12     -34:30:30.350    4.0e-03   pgf+12     0.0025603710316720   3.0e-16   pgf+12     37.84      2.6e-01   rrc+13     *            0  *          HE                              ELL1    pgf+12     FermiBlind                                       
J1311-59      kkl+11     J1311-59      kkl+11     13:11                  0  kkl+11     -59                    0  kkl+11     *                          0  *          152        5.0e+00   kkl+11     *            0  *          RRAT(?)                         *       *          pksmb                                            
J1312+0051    rap+12     J1312+0051    rap+12     13:12                  0  rap+12     +00:51                 0  rap+12     0.00423                    0  rap+12     15.3             0  rap+12     *            0  *          *                               BT      rap+12     FermiAssoc                                       
B1310+18      kapw91     J1312+1810    kapw91     13:12:55         2.0e+01   kapw91     +18:10           5.0e+00   kapw91     0.033163166          3.0e-09   kapw91     24.0       1.5e+00   kapw91     *            0  *          *                               BT      kapw91     misc                                             
B1309-53      mlt+78     J1312-5402    mlt+78     13:12:04.6       1.0e-01   nmc81      -54:02:42        1.0e+00   nmc81      0.7281542173         3.0e-10   nmc81      133        2.0e+00   nmc81      *            0  *          *                               *       *          mol2,pks70,pkssw                                 
B1309-55      mlt+78     J1312-5516    mlt+78     13:12:53.83      1.5e-01   nmc81      -55:16:47.1      1.5e+00   nmc81      0.8492356848         4.0e-10   nmc81      134.1      1.6e+00   nmc81      *            0  *          *                               *       *          mol2,pks70,pkssw,htru_pks                        
J1312-6400    mlc+01     J1312-6400    mlc+01     13:12:07.16      1.0e-01   mlc+01     -64:00:55.6      9.0e-01   mlc+01     2.43743249609        1.1e-10   mlc+01     93.0       1.2e+00   mlc+01     0.75   8.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
J1313+0931    lzb+00     J1313+0931    lzb+00     13:13:23.0       1.0e-01   lzb+00     +09:31:56        1.0e+00   lzb+00     0.84893275073        2.0e-11   lzb+00     12.0       1.0e-01   lzb+00     0.16   1.0e-02   lzb+00     *                               *       *          misc                                             
J1314-6101    kbm+03     J1314-6101    kbm+03     13:14:23.4       9.0e-01   kbm+03     -61:01:16        6.0e+00   kbm+03     2.9483896038         1.5e-09   kbm+03     309        1.3e+01   kbm+03     0.41   5.0e-02   kbm+03     *                               *       *          pksmb,htru_pks                                   
J1316-6232    cmk01      J1316-6232    cmk01      13:16:46.3       2.0e-01   cmk01      -62:32:12.2      5.0e-01   cmk01      0.34282539844        6.0e-11   cmk01      983.3      5.0e-01   hfs+04     0.74   8.0e-02   hfs+04     *                               *       *          misc,pksmb,htru_pks                              
J1317-5759    mll+06     J1317-5759    mll+06     13:17:46.29      3.0e-02   mlk+09     -57:59:30.5      3.0e-01   mlk+09     2.64219851320        5.0e-11   mlk+09     145.3      3.0e-01   mlk+09     *            0  *          RRAT                            *       *          pksmb                                            
J1317-6302    mlc+01     J1317-6302    mlc+01     13:17:44.69      7.0e-02   mlc+01     -63:02:52.2      6.0e-01   mlc+01     0.26127055606        3.0e-11   mlc+01     678.1      1.2e+00   mlc+01     0.99   1.0e-02   mlc+01     *                               *       *          pksmb,htru_pks                                   
B1316-60      jlm+92     J1319-6056    jlm+92     13:19:20.29      2.0e-02   jml+95     -60:56:46.67     1.1e-01   jml+95     0.284351393041       6.0e-12   jml+95     400.94     4.0e-02   jml+95     1.20   1.3e-01   hfs+04     *                               *       *          pks1,pksmb,htru_pks                              
